Options:
Model:                           Independent Contrasts
Tree File Name:                  marsupial_tree.tree
Data File Name:                  marsupials_variabledeltarate.txt
Log File Name:                   marsupials_variabledeltarate.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            128529448
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   20000
Iterations:                      11000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   marsupials_variabledeltarate.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  True
RJ Local OU:                     False
Using VarRates:                  True
Restrictions:
    Alpha-1                      None
    Sigma-1                      None
Prior Information:
    Priors
        Alpha-1 - uniform -100.00 100.00 
        Sigma-1 - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
        Delta - uniform 0.00 3.00 
Tree Information
     Trees:                      1
     Taxa:                       246
     Sites:                      1
Iteration	Lh	Tree No	Alpha 1	Sigma^2 1	No RJ Local Branch	No RJ Local Node	No RJ Local Delta	
2560000	-57.340807	1	0.831115348856	1.454366481964	17	12	12	
2580000	-51.485687	1	2.346842501220	2.401933965481	17	13	10	
2600000	-51.909174	1	1.752906026496	1.307306305883	24	12	12	
2620000	-45.200799	1	3.343308242756	2.080476301395	28	7	11	
2640000	-55.827103	1	2.218815887226	2.570807002055	21	8	14	
2660000	-46.339428	1	1.920148959763	1.586718130351	23	11	9	
2680000	-54.963844	1	2.467268687374	2.540808498941	24	7	14	
2700000	-60.976816	1	4.981121145897	2.104585056526	25	7	11	
2720000	-53.455837	1	-0.906642390136	2.939287165908	22	9	17	
2740000	-60.892525	1	1.003180830982	1.953053161991	21	12	16	
2760000	-52.656790	1	2.480956938625	1.968729493440	19	9	14	
2780000	-62.937405	1	2.724532949604	2.655871580570	19	6	16	
2800000	-45.025448	1	1.536852126391	1.437602906033	24	13	14	
2820000	-55.164140	1	2.866618905998	2.237183832378	15	8	12	
2840000	-61.041743	1	3.624851845650	2.333267350301	24	8	10	
2860000	-59.504201	1	4.780004919261	3.566778374673	24	7	17	
2880000	-48.121796	1	2.786404448147	1.407258252162	17	12	11	
2900000	-49.663033	1	-0.535871123548	1.953341221380	22	5	15	
2920000	-46.717035	1	2.359459988796	2.678878936432	22	13	13	
2940000	-51.802341	1	3.549966968118	2.728938116481	25	10	12	
2960000	-64.263996	1	3.172417788376	2.699302553773	26	6	12	
2980000	-64.271498	1	4.650445246622	2.353258960432	15	7	16	
3000000	-52.970131	1	0.979919460258	1.528660693878	20	9	15	
3020000	-58.181770	1	0.530734796492	1.732919770274	21	12	11	
3040000	-70.205509	1	2.472862959651	2.306577852349	25	7	8	
3060000	-55.807561	1	0.810485228558	1.902684566941	21	8	13	
3080000	-42.856893	1	2.683107183360	2.128270112172	28	5	12	
3100000	-47.523734	1	1.922061141532	5.065917887888	37	10	12	
3120000	-53.317043	1	1.174816863010	1.535255371198	25	9	12	
3140000	-79.341711	1	1.934564889644	1.942359276535	19	6	9	
3160000	-71.890661	1	2.849178544241	1.964902293143	19	13	15	
3180000	-69.545681	1	3.954575821634	2.411297508924	22	10	15	
3200000	-47.292358	1	1.115864234143	1.850113802452	31	10	12	
3220000	-63.111988	1	2.245300660453	1.892385261126	21	9	14	
3240000	-54.582796	1	1.696563353687	1.800828423940	28	7	11	
3260000	-56.020141	1	2.173543521853	2.167031639866	21	13	16	
3280000	-56.401063	1	1.123861680968	2.253343205915	26	11	11	
