Options:
Model:                           Independent Contrasts
Tree File Name:                  marsupials.trees
Data File Name:                  marsupials_variabledelta.txt
Log File Name:                   marsupials_variabledelta.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2905091982
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   20000
Iterations:                      11000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   marsupials_variabledelta.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  True
RJ Local OU:                     False
Restrictions:
    Alpha-1                      None
    Sigma-1                      None
Prior Information:
    Priors
        Alpha-1 - uniform -100.00 100.00 
        Sigma-1 - uniform 0.00 100.00 
        Delta - uniform 0.00 3.00 
Tree Information
     Trees:                      1
     Taxa:                       246
     Sites:                      1
Iteration	Lh	Tree No	Alpha 1	Sigma^2 1	No RJ Local Delta	
1020000	-86.244135	1	2.690076822042	5.609813410763	11	
1040000	-77.308851	1	0.138956285308	2.903572516485	16	
1060000	-81.939267	1	-0.149772177472	3.028703031760	13	
1080000	-93.745128	1	1.066894053236	2.040117043573	12	
1100000	-89.266257	1	2.022284633072	1.159842566125	14	
1120000	-91.151564	1	2.443614251067	2.115915266053	12	
1140000	-86.820698	1	1.536350715860	1.405705255168	15	
1160000	-86.367811	1	3.409232245235	1.430170328120	18	
1180000	-78.992706	1	1.696522149048	2.360047578026	19	
1200000	-78.090859	1	1.856349872666	2.051480874756	13	
1220000	-88.217070	1	2.950828727368	2.445125912005	12	
1240000	-90.711841	1	0.744226350000	2.763073637987	11	
1260000	-83.811014	1	3.154839022982	2.853465770857	15	
1280000	-88.125690	1	2.610099542006	3.296189830385	9	
1300000	-92.988917	1	1.082899342235	4.083723053212	15	
1320000	-94.779163	1	0.978961379116	3.813258494549	12	
1340000	-83.475249	1	0.970690274555	3.931350333778	12	
1360000	-86.792301	1	4.494755023123	6.359880066934	11	
1380000	-83.040034	1	1.489863811819	12.321468046465	15	
1400000	-70.868731	1	2.137032003982	4.652343742724	21	
